Medicine Name,Uses,Manufacturer
Insugen-N 100IU/ml Injection, Diabetes,Biocon
Imunotac 0.5 Capsule, Prevention of organ rejection in transplant patients,RPG Life Sciences Ltd
Ibitra 100mg Capsule,Treatment of Fungal infections,Indiabulls pharmaceutical ltd
Isokon 20mg Capsule,Treatment of Acne,Eskon Pharma
Ibitret 10mg Soft Gelatin Capsule,Treatment of Acne,Indiabulls pharmaceutical ltd
Insugen-N 100IU/ml Refil Injection, Diabetes,Biocon
Inditel MX 50 Tablet ER,Treatment of Hypertension (high blood pressure),Zydus Cadila
Itra RD 200 Capsule,Treatment of Fungal infections,Ethinext Pharma
Iconac Spt Tablet, Pain relief,Icon Life Sciences
IZ K Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,MRHM Pharma Pvt Ltd
Itrastar 100mg Capsule,Treatment of Fungal infections,Wallace Pharmaceuticals Pvt Ltd
Itracat 200 Capsule,Treatment of Fungal infections,Profic Organic Ltd
Iversafe Cream, RosaceaTreatment of Parasitic infections,Rockmed Pharma Pvt. Ltd.
Imulast 200mg Tablet,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,Cipla Ltd
Iphytoral 100mg Capsule,Treatment of Fungal infections,Micro Labs Ltd
Itrafung 100 Capsule,Treatment of Fungal infections,East West Pharma
Ibitra 200mg Capsule,Treatment of Fungal infections,Indiabulls pharmaceutical ltd
Instaflex Nano Gel, Pain relief,Innovcare Lifesciences Pvt Ltd
Ibflux Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Indiabulls pharmaceutical ltd
Itgo-MT Cream,Treatment of Fungal skin infections,Salsim Pharma Pvt Ltd
Isokon 10mg Capsule,Treatment of Acne,Eskon Pharma
Itriben 100mg Tablet,Treatment of Fungal infections,Jenburkt Pharmaceuticals Ltd
Insuman Basal 40IU/ml Injection, Diabetes,Sanofi India Ltd
Intadine Solution,Treatment and prevention of Wound infection,Intas Pharmaceuticals Ltd
Itranext Capsule,Treatment of Fungal infections,Ethinext Pharma
Induz Capsule,Treatment of Breast cancerTreatment of Infertility due to anovulation,Emcure Pharmaceuticals Ltd
Irimist V Eye Drop, Dry eyes,Indoco Remedies Ltd
Itraderm DS Capsule,Treatment of Fungal infections,Seagull Pharmaceutical Pvt Ltd
Instigo-D Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Mebio Labs Pvt Ltd
Ilosure 6mg Tablet, Schizophrenia Mania,Sun Pharmaceutical Industries Ltd
Ismet 500mg Tablet,Treatment of Type 2 diabetes mellitus,Mitoch Pharma Pvt Ltd
Ismet 500mg Tablet,Treatment of Type 2 diabetes mellitus,Mitoch Pharma Pvt Ltd
Itraclar 200 Capsule,Treatment of Fungal infections,Torrent Pharmaceuticals Ltd
Itrostred 100 Capsule,Treatment of Fungal infections,Leeford Healthcare Ltd
Iversafe Lotion, RosaceaTreatment of Parasitic infections,Rockmed Pharma Pvt. Ltd.
Itorate Capsule,Treatment of Fungal infections,Mesova Pharmaceuticals
Isoperio 10mg Capsule,Treatment of Acne,GBK Healthcare
Inovas F Tablet,Treatment of High cholesterolPrevention of Heart attack,Invision Medi Sciences Pvt Ltd
Itracutis  100 Capsule,Treatment of Fungal infections,Syscutis Healthcare
Intalon  Liquid,Treatment of Wound infection,Intas Pharmaceuticals Ltd
Instacam Mouth Gel,Treatment of Mouth ulcers,Lupin Ltd
Itgo-O2 Tablet,Treatment of Bacterial & parasitic infections,Salsim Pharma Pvt Ltd
Itgo 50DT Tablet,Treatment of Fungal infections,Salsim Pharma Pvt Ltd
Ibithral 500mg Tablet,Treatment of Bacterial infections,Indiabulls pharmaceutical ltd
Itriben 200 Capsule,Treatment of Fungal infections,Jenburkt Pharmaceuticals Ltd
Itracoe 400 SR Tablet,Treatment of Fungal infections,Koye Pharmaceuticals Pvt ltd
Isofeel 0.1 Gel,Treatment of Acne Acute promyelocytic leukaemia,Dermakare Pharmaceuticals Pvt Ltd
Itraderm Capsule,Treatment of Fungal infections,Seagull Pharmaceutical Pvt Ltd
Ivables 7.5 Tablet,Treatment of Angina (heart-related chest pain)Treatment of Heart failure,Lloyd Healthcare Pvt Ltd
Itratuf Capsule,Treatment of Fungal infections,Alkem Laboratories Ltd
Isopil 5 Tablet,Treatment of Acne,Glowderma Labs Pvt Ltd
Ibgliptin 20 Tablet,Treatment of Type 2 diabetes mellitus,Indiabulls pharmaceutical ltd
Intalon  Liquid,Treatment of Wound infection,Intas Pharmaceuticals Ltd
Itracyp 200mg Capsule,Treatment of Fungal infections,Iceberg Healthcare Pvt Ltd
Itsbest 200 Capsule,Treatment of Fungal infections,Alniche Life Sciences Pvt Ltd
Junior Lanzol 15mg Tablet DT,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cipla Ltd
Janumet 50mg/500mg Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Jardiance 25mg Tablet,Treatment of Type 2 diabetes mellitus,Boehringer Ingelheim
Jalra-M  50mg/500mg Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Just Tears Eye Drop,Treatment of Dry eyes,Sunways India Pvt Ltd
Januvia 100mg Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Janumet 50mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Jardiance 10mg Tablet,Treatment of Type 2 diabetes mellitus,Boehringer Ingelheim
Jalra 50mg Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Junior Lanzol 30mg Tablet DT,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cipla Ltd
Jointace DN Tablet, Osteoarthritis,Meyer Organics Pvt Ltd
Januvia 50mg Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Janumet XR CP Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Jardiance Met 12.5mg/500mg Tablet,Treatment of Type 2 diabetes mellitus,Boehringer Ingelheim
Jectocos Plus Injection 1.5ml, Iron deficiency anemia Anemia due to chronic kidney disease,Oaknet Healthcare Pvt Ltd
Jupiros 10 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Alkem Laboratories Ltd
Juvobin 40 Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,La Renon Healthcare Pvt Ltd
Jalra-M  50mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Jupiros-F Tablet,Treatment of High cholesterolPrevention of Heart attack,Alkem Laboratories Ltd
Jardiance Met 12.5mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,Boehringer Ingelheim
Jointace OD Tablet, Osteoarthritis,Meyer Organics Pvt Ltd
Jilazo Solution for Injection, Iron deficiency anemia,Lupin Ltd
Justin 12.5mg Suppository, Pain relief,Neon Laboratories Ltd
Just Tears Liquigel,Treatment of Dry eyes,Sunways India Pvt Ltd
Jenvac Vaccine, Prevention of Japanese Encephalitis,Bharat Biotech
Jointace-DN Super Tablet, Osteoarthritis,Meyer Organics Pvt Ltd
Julax 10mg Tablet,Treatment of Constipation,Shreya Life Sciences Pvt Ltd
Jectocos 50mg Injection, Iron deficiency anemia,Oaknet Healthcare Pvt Ltd
Juliana Tablet, Contraception,Zydus Cadila
Jupiros Gold 10 Capsule, Heart attack,Alkem Laboratories Ltd
Jubira 10 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Jubilant Life Sciences
Joincerin M  Tablet, Osteoarthritis,Torrent Pharmaceuticals Ltd
Jupiros 20 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Alkem Laboratories Ltd
Joykem ODT 50 Tablet, Schizophrenia,Alkem Laboratories Ltd
Junior Cipeg Powder for Oral Solution, Constipation Intestine preparation before any surgery,Cipla Ltd
Jupiros 5 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Alkem Laboratories Ltd
Jalra-M  50mg/850mg Tablet,Treatment of Type 2 diabetes mellitus,USV Ltd
Joykem ODT 200 Tablet, Schizophrenia,Alkem Laboratories Ltd
Justin 25mg Suppository, Pain relief,Neon Laboratories Ltd
Januvia 25mg Tablet,Treatment of Type 2 diabetes mellitus,MSD Pharmaceuticals Pvt Ltd
Joten M Tablet,Treatment of Type 2 diabetes mellitus,Jarun Pharmaceuticals
Jupicid DSR 30mg/40mg Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Jupiter Biolabs Pvt Ltd
Jubiglim Trio 2 Tablet PR,Treatment of Type 2 diabetes mellitus,Jubilant Life Sciences
Jimlig 100 Capsule,Treatment of Fungal infections,Encore Pharmaceuticals Inc.
Jubiglim M 2 Tablet PR,Treatment of Type 2 diabetes mellitus,Jubilant Life Sciences
Jonac Gel, Pain relief,Zydus Cadila
Joten 20mg Tablet,Treatment of Type 2 diabetes mellitus,Jarun Pharmaceuticals
Justaday Capsule, Pain relief,Tas Med India Pvt Ltd
Jubiglim MV 2 Tablet SR,Treatment of Type 2 diabetes mellitus,Jubilant Life Sciences
Jubira F 5 Tablet,Treatment of High cholesterolPrevention of Heart attack,Jubilant Life Sciences
Jubiflam Plus Tablet, Pain relief,Dr. Johns Laboratories Pvt Ltd
Jubira 5 Tablet,Treatment of High cholesterol Prevention of heart attack and stroke,Jubilant Life Sciences
Joykem ODT 400mg Tablet, Schizophrenia,Alkem Laboratories Ltd
J-Ring M Forte Tablet ER,Treatment of Type 2 diabetes mellitus,Indoco Remedies Ltd
Joxcy 500mg Tablet,Treatment of Bacterial infections,Dr. Johns Laboratories Pvt Ltd
Jotair L Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,Dr. Johns Laboratories Pvt Ltd
Joykem ODT 300 Tablet, Schizophrenia,Alkem Laboratories Ltd
Joyneca Anti fungal Soap, Fungal skin infections,Maxamus Pharma Pvt Ltd
Jidox 200mg Tablet,Treatment of Bacterial infections,Dr. Johns Laboratories Pvt Ltd
Joyace Nano Gel 2X, Pain relief,Sowilo India Pharmaceuticals Pvt Ltd
Jifon 200 Tablet,Treatment of Bacterial infections,Dr. Johns Laboratories Pvt Ltd
Joypride 400mg Tablet, Schizophrenia,Linux Laboratories
Jufate O 1000 mg/20 mg Suspension Sugar Free,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Dr. Johns Laboratories Pvt Ltd
Januric SR 250 Tablet,Treatment of Gout,ADN Life Sciences
Jufate O 1000 mg/20 mg Suspension,Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers,Dr. Johns Laboratories Pvt Ltd
Ketoscalp Shampoo from Leeford for Antifungal Infections,Treatment of Dandruff,Leeford Healthcare Ltd
Ketostar Cream, Fungal skin infections,Mankind Pharma Ltd
Kidpred Syrup,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Severe allergic reactionsTreatment of Allergic conditionsTreatment of Rheumatic disorderTreatment of Skin disordersTreatment of Eye disordersTreatment of Nephrotic syndrome,Abbott
Ketoflam-P Tablet, Pain relief,Lupin Ltd
Keto Cream, Fungal skin infections,Med Manor Organics Pvt Ltd
Ketostar Soap, Dandruff,Mankind Pharma Ltd
Ketofly Soap from Leeford for Skin Infections, Fungal skin infections,Leeford Healthcare Ltd
Kutub 30 X Tablet,Treatment of Premature ejaculation,Hetero Drugs Ltd
Keralin Ointment,Treatment of Psoriasis,East India Pharmaceutical Works Ltd
Kufril LS Drop,Acute Sore throatTreatment of Cough with mucus,Med Manor Organics Pvt Ltd
Ketanov 10mg Tablet, Pain relief,Sun Pharmaceutical Industries Ltd
Ketocip 2% Shampoo from Cipla for Antifungal Infections,Treatment of Fungal infections,Cipla Ltd
Kefpod CV 200 Tablet,Treatment of Respiratory tract infection,Glenmark Pharmaceuticals Ltd
Kinpride Tablet, Gastroesophageal reflux disease (Acid reflux) Indigestion,Dr Reddy's Laboratories Ltd
Ketostar Anti Dandruff Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Mankind Pharma Ltd
K-Trip Forte Tablet, Pain reliefTreatment of Swelling,FDC Ltd
KZ Plus Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Hegde and Hegde Pharmaceutical LLP
K-Glim-M 1mg Tablet PR,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
Kefpod 200mg Tablet,Treatment of Bacterial infections,Glenmark Pharmaceuticals Ltd
Ketorol Injection, Pain relief,Dr Reddy's Laboratories Ltd
Ketasma Tablet,Prevention of Asthma,Sun Pharmaceutical Industries Ltd
Kineto-DP Capsule, Pain relief,Systopic Laboratories Pvt Ltd
Kofarest-PD Drop,Acute Sore throatTreatment of Cough with mucus,Centaur Pharmaceuticals Pvt Ltd
K20 Soap, Fungal skin infections,Sanstuti Pharmaceuticals Pvt Ltd
Keto-B Lotion,Treatment of Fungal skin infections,Med Manor Organics Pvt Ltd
Keto-AZ Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,Med Manor Organics Pvt Ltd
Keppra 500mg Tablet,Treatment of Epilepsy/Seizures,Dr Reddy's Laboratories Ltd
K-Stat 500mg Tablet, Bleeding,Mercury Laboratories Ltd
Ketanov Injection, Pain relief,Sun Pharmaceutical Industries Ltd
Ketocip Tablet, Fungal infections,Cipla Ltd
Kinetozyme Tablet, Pain relief,Systopic Laboratories Pvt Ltd
K-Glim-M 2mg Tablet PR,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
Kevon Lotion, Fungal skin infections,Glowderma Labs Pvt Ltd
Kevon Lotion, Fungal skin infections,Glowderma Labs Pvt Ltd
Ketanov DT 10mg Tablet, Pain relief,Sun Pharmaceutical Industries Ltd
Ketoplast Plaster, Pain relief,Zuventus Healthcare Ltd
Kenozole Cream, Fungal skin infections,Brinton Pharmaceuticals Pvt Ltd
Ketoalfa  Tablet,Treatment of Chronic kidney disease,Alniche Life Sciences Pvt Ltd
Kenacort 10mg Injection,Treatment of Rheumatoid arthritisTreatment of Osteoarthritis,Abbott
Keto Soap, Fungal skin infections,Med Manor Organics Pvt Ltd
K-Cit Oral Solution,Treatment of Kidney stone,Dr Reddy's Laboratories Ltd
Ketomar  Ophthalmic Solution,Treatment of Post-operative eye pain and inflammation,Allergan India Pvt Ltd
Kofarest-LS Syrup,Treatment of Cough with mucus,Centaur Pharmaceuticals Pvt Ltd
Korandil 10 Tablet,Treatment of Angina (heart-related chest pain),Sun Pharmaceutical Industries Ltd
Konaz Antifungal Cream, Fungal skin infections,Talent India 
Kofarest Syrup, Cough with mucus,Centaur Pharmaceuticals Pvt Ltd
Kenz Soap, Fungal skin infections,KLM Laboratories Pvt Ltd
Katadol Capsule, Pain relief,Lupin Ltd
Kitmox  Eye Drop,Treatment of Bacterial eye infections,Sentiss Pharma
KLM-D3 Nano Drops,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,KLM Laboratories Pvt Ltd
KLM-FX 180 Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,KLM Laboratories Pvt Ltd
Kineto Forte Tablet, Pain relief Swelling,Systopic Laboratories Pvt Ltd
K-Gem Tablet,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
Konaz -CT Lotion,Treatment of Dandruff,Talent India 
Ktc Medicated Shampoo,Treatment of Dandruff,Yash Pharma Laboratories Pvt Ltd
K-Ion 10mg Tablet,Treatment of Angina (heart-related chest pain),Nouveau Medicament Pvt Ltd
Kimet XL 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Zuventus Healthcare Ltd
Keto Gold Soap, Fungal skin infections,Med Manor Organics Pvt Ltd
KZ-XL Cream, Fungal skin infections,Hegde and Hegde Pharmaceutical LLP
Kenz Lotion, Fungal skin infections,KLM Laboratories Pvt Ltd
Keto SZ Hair Wash,Treatment of Dandruff,Med Manor Organics Pvt Ltd
Kufril D Syrup,Treatment of Dry cough,Med Manor Organics Pvt Ltd
K-Cor 10 Tablet,Treatment of Angina (heart-related chest pain),Macleods Pharmaceuticals Pvt Ltd
K-Glim 1mg Tablet,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
Kerashine-F  Tablet, Hair loss,Syscutis Healthcare
Ketoflox Ophthalmic Solution,Treatment of Eye infection,Allergan India Pvt Ltd
K-Pio-Gm Tablet ER,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
KZ Dusting Powder, Fungal skin infections,Hegde and Hegde Pharmaceutical LLP
Ketograce Tablet,Treatment of Chronic kidney disease,Biokindle Lifesciences Pvt Ltd
Kera XL M Solution,Treatment of Hair loss,Ipca Laboratories Ltd
Kelfer 500 Capsule,Treatment of Iron overload,Cipla Ltd
Ketorol Gel, Pain relief,Dr Reddy's Laboratories Ltd
Ketofly 200mg Tablet, Fungal infections,Leeford Healthcare Ltd
Ketonate Cream,Treatment of Skin infections,Med Manor Organics Pvt Ltd
K20 Cream, Fungal skin infections,Sanstuti Pharmaceuticals Pvt Ltd
Kefpod Suspension Orange,Treatment of Bacterial infections,Glenmark Pharmaceuticals Ltd
Kinetozyme-D Tablet, Pain relief,Systopic Laboratories Pvt Ltd
Ketoflam T 4 Tablet, Pain due to muscle spasm,Lupin Ltd
Kitmox-LD  Opthalmic Suspension,Treatment of Eye infection with inflammation,Sentiss Pharma
Kipnol TR 40 Capsule,Treatment of PheochromocytomaTreatment of Hypertension (high blood pressure) Prevention of migraineTreatment of AnxietyTreatment of ArrhythmiaPrevention of Heart attackPrevention of Angina (heart-related chest pain)Treatment of Tremors,Kivi Labs Ltd
Keppra 100mg Syrup,Treatment of Epilepsy/Seizures,Dr Reddy's Laboratories Ltd
Kneejoint Care Tablet, Osteoarthritis,Ronyd Healthcare Pvt Ltd
Kinpride SR Tablet, Gastroesophageal reflux disease (Acid reflux) Indigestion,Dr Reddy's Laboratories Ltd
Kofarest Drop,Treatment of Cough with mucusTreatment of Acute Sore throatTreatment of Respiratory tract disorders associated with viscid mucus,Centaur Pharmaceuticals Pvt Ltd
Ktc Soap, Dandruff,Yash Pharma Laboratories Pvt Ltd
Kidodent Mouth Wash Bubble Fruit,Treatment of Dental cavities,Indoco Remedies Ltd
Kenz Tablet, Fungal infections,KLM Laboratories Pvt Ltd
Kojiplus-TX Cream, Melasma,Organic Laboratories
Kenozole Shampoo,Treatment of Dandruff,Brinton Pharmaceuticals Pvt Ltd
Ketoneph Tablet,Treatment of Chronic kidney disease,Rencord Life Sciences Pvt Ltd
Keto Dusting Powder, Fungal skin infections,Med Manor Organics Pvt Ltd
Ketoflam SR Tablet, Pain relief,Lupin Ltd
Ketodel Tablet,Treatment of Chronic kidney disease,Oriva Lifesciences Pvt Ltd
Ketafung CT Lotion,Treatment of Dandruff,East West Pharma
Kosat Syrup Alcohol &amp; Sugar Free, Cough,Maestro Healthcare Pvt Ltd
Ketonext CT Shampoo,Treatment of Dandruff,Ethinext Pharma
Ketafung-Z Plus Lotion,Treatment of Fungal skin infectionsTreatment of Dandruff,East West Pharma
Klm Klin  Soap, Skin infections,KLM Laboratories Pvt Ltd
K-Stat-ET Tablet, Heavy menstrual bleeding,Mercury Laboratories Ltd
Kombiglyze  XR 5mg/1000mg Tablet,Treatment of Type 2 diabetes mellitus,AstraZeneca
Kefpod O 200 mg/200 mg Tablet, Bacterial infections,Glenmark Pharmaceuticals Ltd
Kansel -DS Gel,Treatment of Fungal skin infections,Palsons Derma
K-Pio-Gm 1mg Tablet ER,Treatment of Type 2 diabetes mellitus,Blue Cross Laboratories Ltd
Kleangut Plus Oral Emulsion Peppermint, Constipation,Wallace Pharmaceuticals Pvt Ltd
Kansel-B Cream,Treatment of Fungal skin infections,Palsons Derma
Kiofiber Powder,Treatment of Constipation,Corona Remedies Pvt Ltd
Kyrah Tablet, Contraception,Jagsonpal Pharmaceuticals Ltd
K2-Zole Soap, Fungal skin infections,Salve Pharmaceuticals Pvt Ltd
